id,agent_id,provider_id,pattern_type,anomaly_score,evidence,confidence,created_at
1,1,1,off_hours_activity,0.515,"{'amount': 4476.02, 'timestamp': '2026-07-11T02:00:49.716189', 'velocity_10m': 1, 'velocity_30m': 1, 'transaction_id': 107, 'historical_mean': 5204.99, 'amount_deviation': -728.97, 'off_hours_activity': True, 'similar_amounts_30m': 1, 'counterparty_repetition_30m': 1}",0.49,2026-07-11 03:52:49.956821
2,1,1,off_hours_activity,0.5305,"{'amount': 4000.0, 'timestamp': '2026-07-11T02:52:49.716189', 'velocity_10m': 1, 'velocity_30m': 1, 'transaction_id': 465, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 1, 'counterparty_repetition_30m': 1}",0.5,2026-07-11 03:52:49.986037
3,1,1,off_hours_activity,0.5809,"{'amount': 4000.0, 'timestamp': '2026-07-11T02:58:49.716189', 'velocity_10m': 2, 'velocity_30m': 2, 'transaction_id': 466, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 2, 'counterparty_repetition_30m': 1}",0.55,2026-07-11 03:52:50.010195
4,1,1,off_hours_activity,0.6312,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:04:49.716189', 'velocity_10m': 2, 'velocity_30m': 3, 'transaction_id': 467, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 3, 'counterparty_repetition_30m': 1}",0.6,2026-07-11 03:52:50.057682
5,1,1,near_identical_amounts,0.6482,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:10:49.716189', 'velocity_10m': 2, 'velocity_30m': 4, 'transaction_id': 468, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 4, 'counterparty_repetition_30m': 1}",0.62,2026-07-11 03:52:50.077367
6,1,1,near_identical_amounts,0.6607,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:16:49.716189', 'velocity_10m': 2, 'velocity_30m': 5, 'transaction_id': 469, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 5, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.094829
7,1,1,near_identical_amounts,0.6655,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:22:49.716189', 'velocity_10m': 2, 'velocity_30m': 6, 'transaction_id': 470, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 6, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.130470
8,1,1,near_identical_amounts,0.6655,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:28:49.716189', 'velocity_10m': 2, 'velocity_30m': 6, 'transaction_id': 471, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 6, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.179493
9,1,1,near_identical_amounts,0.6655,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:34:49.716189', 'velocity_10m': 2, 'velocity_30m': 6, 'transaction_id': 472, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 6, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.199850
10,1,1,near_identical_amounts,0.6655,"{'amount': 4000.0, 'timestamp': '2026-07-11T03:40:49.716189', 'velocity_10m': 2, 'velocity_30m': 6, 'transaction_id': 473, 'historical_mean': 5204.99, 'amount_deviation': -1204.99, 'off_hours_activity': True, 'similar_amounts_30m': 6, 'counterparty_repetition_30m': 1}",0.63,2026-07-11 03:52:50.216814
