id,case_id,event_type,actor_role,note,created_at
1,1,created,system,Alert generated: Routed to provider_ops.,2026-07-11 14:25:22.641774
2,2,created,system,Alert generated: Routed to field_officer.,2026-07-11 14:25:22.648090
3,3,created,system,Alert generated: Routed to risk_analyst.,2026-07-11 14:25:22.651043
4,4,created,system,Alert generated: Routed to risk_analyst.,2026-07-11 14:25:22.654889
5,5,created,system,Alert generated: Routed to risk_analyst.,2026-07-11 14:25:22.657862
6,6,created,system,Alert generated: Routed to risk_analyst.,2026-07-11 14:25:22.660388
7,7,created,system,Alert generated: Routed to risk_analyst.,2026-07-11 14:25:22.662819
8,8,created,system,Alert generated: Routed to provider_ops.,2026-07-11 13:25:22.263622
9,8,acknowledged,provider_ops,Case acknowledged by Officer Tanvir. Checking balance limits.,2026-07-11 13:40:22.263622
10,8,note,provider_ops,"Distributor notified, waiting for bank confirmation.",2026-07-11 14:05:22.263622
